"species","anemogamous","autogamous","entomogamous","annual","biennial","perennial","lfp","min_height","max_height","bfp","spikiness","hairy_leaves"
"arisarum_vulgare",0,0,1,0,0,1,1.79175946922805,-2.30258509299405,-0.916290731874155,1.5,0,0
"alisma_plantago_aquatica",0,0,1,0,0,1,1.38629436111989,-2.30258509299405,0,7.5,0,0
"damasonium_alisma",0,0,1,1,1,1,1.79175946922805,-2.99573227355399,-1.20397280432594,6.5,0,0
"asphodelus_aetivus",0,0,1,0,0,1,1.6094379124341,0,0.405465108108164,4,0,0
"narcissus_tazetta",0,0,1,0,0,1,1.6094379124341,-1.6094379124341,-0.693147180559945,2,0,0
"narcissus_elegans",0,0,1,0,0,1,0.693147180559945,-2.52572864430826,-1.38629436111989,10.5,0,0
"drimia_numidica",0,0,1,0,0,1,1.38629436111989,0,0.587786664902119,8.5,0,0
"scilla_autumnalis",0,0,1,0,0,1,1.09861228866811,-2.30258509299405,-1.20397280432594,9,0,0
"juncus_maritimus",1,0,0,0,0,1,1.38629436111989,-0.693147180559945,0,7.5,2,0
"juncus_acutus",1,0,0,0,0,1,1.09861228866811,-1.38629436111989,0.693147180559945,6,2,0
"bolboschoenus_maritimus",1,0,0,0,0,1,2.30258509299405,-1.20397280432594,0.182321556793955,7.5,1,0
"schoenoplectus_litoralis",1,0,0,0,0,1,1.38629436111989,-1.20397280432594,0.693147180559945,6.5,2,0
"eleocharis_uniglumis",1,0,0,0,0,1,1.38629436111989,-1.89711998488588,-0.22314355131421,8.5,0,0
"cynosurus_polybracteatus",1,0,0,1,0,0,0.693147180559945,-1.6094379124341,-0.22314355131421,4.5,0,1
"avena_fatua",1,1,0,1,0,0,1.6094379124341,-0.510825623765991,0.405465108108164,6,0,1
"phalaris_coerulescens",1,0,0,0,0,1,1.38629436111989,-0.693147180559945,0.182321556793955,5.5,0,0
"hordeum_marinum",1,0,0,1,0,0,1.94591014905531,-2.30258509299405,-0.916290731874155,7,0,1
"lolium_rigidum",1,0,0,1,0,0,1.38629436111989,-2.30258509299405,-0.510825623765991,6.5,0,0
"lolium_multiflorum",1,0,0,1,0,0,1.38629436111989,-1.20397280432594,0,6.5,0,0
"cynodon_dactylon",1,0,0,0,0,1,2.14006616349627,-2.30258509299405,-0.916290731874155,6.941176471,0,1
"aeluropus_littoralis",1,0,0,0,0,1,1.79175946922805,-2.99573227355399,-1.38629436111989,5.5,0,1
"crypsis_alopecuroides",1,0,0,1,0,0,1.38629436111989,-2.99573227355399,-1.04982212449868,8.5,0,2
"phragmites_australis",1,0,0,0,0,1,1.09861228866811,-0.510825623765991,2.07944154167984,8,0,0
"atriplex_prostrata",1,1,0,1,0,0,1.79175946922805,-2.30258509299405,0,7.5,0,0
"halimione_portulacoides",1,0,0,0,0,1,1.6094379124341,-1.6094379124341,-0.22314355131421,8,0,0
"sarcocornia_fruticosa",1,0,0,0,0,1,1.6094379124341,-2.30258509299405,0,8,0,0
"arthrocnemum_macrostachyum",1,0,0,0,0,1,1.94591014905531,-2.30258509299405,0,7,0,0
"beta_vulgaris",1,0,0,1,1,1,1.79175946922805,-2.30258509299405,0.693147180559945,6.5,0,0
